sno,Team_1,Team_2,Winner,Margin,Ground,MatchDate
0,Australia,England,Australia,5 wickets,Melbourne,5-Jan-71
1,England,Australia,England,6 wickets,Manchester,24-Aug-72
2,England,Australia,Australia,5 wickets,Lord's,26-Aug-72
3,England,Australia,England,2 wickets,Birmingham,28-Aug-72
4,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,11-Feb-73
5,England,New Zealand,England,7 wickets,Swansea,18-Jul-73
6,England,New Zealand,no result,-,Manchester,20-Jul-73
7,England,West Indies,England,1 wicket,Leeds,5-Sep-73
8,England,West Indies,West Indies,8 wickets,The Oval,7-Sep-73
9,New Zealand,Australia,Australia,7 wickets,Dunedin,30-Mar-74
10,New Zealand,Australia,Australia,31 runs,Christchurch,31-Mar-74
11,England,India,England,4 wickets,Leeds,13-Jul-74
12,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974"
13,England,Pakistan,Pakistan,7 wickets,Nottingham,31-Aug-74
14,England,Pakistan,Pakistan,8 wickets,Birmingham,3-Sep-74
15,Australia,England,England,3 wickets,Melbourne,1-Jan-75
16,New Zealand,England,no result,-,Dunedin,8-Mar-75
17,New Zealand,England,no result,-,Wellington,9-Mar-75
18,England,India,England,202 runs,Lord's,7-Jun-75
19,East Africa,New Zealand,New Zealand,181 runs,Birmingham,7-Jun-75
20,Australia,Pakistan,Australia,73 runs,Leeds,7-Jun-75
21,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,7-Jun-75
22,England,New Zealand,England,80 runs,Nottingham,11-Jun-75
23,East Africa,India,India,10 wickets,Leeds,11-Jun-75
24,Australia,Sri Lanka,Australia,52 runs,The Oval,11-Jun-75
25,Pakistan,West Indies,West Indies,1 wicket,Birmingham,11-Jun-75
26,England,East Africa,England,196 runs,Birmingham,14-Jun-75
27,India,New Zealand,New Zealand,4 wickets,Manchester,14-Jun-75
28,Australia,West Indies,West Indies,7 wickets,The Oval,14-Jun-75
29,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,14-Jun-75
30,England,Australia,Australia,4 wickets,Leeds,18-Jun-75
31,New Zealand,West Indies,West Indies,5 wickets,The Oval,18-Jun-75
32,Australia,West Indies,West Indies,17 runs,Lord's,21-Jun-75
33,Australia,West Indies,Australia,5 wickets,Adelaide,20-Dec-75
34,New Zealand,India,New Zealand,9 wickets,Christchurch,21-Feb-76
35,New Zealand,India,New Zealand,80 runs,Auckland,22-Feb-76
36,England,West Indies,West Indies,6 wickets,Scarborough,26-Aug-76
37,England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976"
38,England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976"
39,Pakistan,New Zealand,New Zealand,1 run,Sialkot,16-Oct-76
40,West Indies,Pakistan,West Indies,4 wickets,Albion,16-Mar-77
41,England,Australia,England,2 wickets,Manchester,2-Jun-77
42,England,Australia,England,101 runs,Birmingham,4-Jun-77
43,England,Australia,Australia,2 wickets,The Oval,6-Jun-77
44,Pakistan,England,England,3 wickets,Sahiwal,23-Dec-77
45,Pakistan,England,England,6 wickets,Sialkot,30-Dec-77
46,Pakistan,England,Pakistan,36 runs,Lahore,13-Jan-78
47,West Indies,Australia,West Indies,44 runs,St John's,22-Feb-78
48,West Indies,Australia,Australia,2 wickets,Castries,12-Apr-78
49,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978"
50,England,Pakistan,England,94 runs,The Oval,26-May-78
51,England,New Zealand,England,19 runs,Scarborough,15-Jul-78
52,England,New Zealand,England,126 runs,Manchester,17-Jul-78
53,Pakistan,India,India,4 runs,Quetta,1-Oct-78
54,Pakistan,India,Pakistan,8 wickets,Sialkot,13-Oct-78
55,Pakistan,India,Pakistan,-,Sahiwal,3-Nov-78
56,Australia,England,no result,-,Sydney,13-Jan-79
57,Australia,England,England,7 wickets,Melbourne,24-Jan-79
58,Australia,England,Australia,4 wickets,Melbourne,4-Feb-79
59,Australia,England,Australia,6 wickets,Melbourne,7-Feb-79
60,India,West Indies,West Indies,9 wickets,Birmingham,9-Jun-79
61,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,9-Jun-79
62,England,Australia,England,6 wickets,Lord's,9-Jun-79
63,Canada,Pakistan,Pakistan,8 wickets,Leeds,9-Jun-79
64,India,New Zealand,New Zealand,8 wickets,Leeds,13-Jun-79
65,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979"
66,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979"
67,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979"
68,New Zealand,West Indies,West Indies,32 runs,Nottingham,16-Jun-79
69,Australia,Canada,Australia,7 wickets,Birmingham,16-Jun-79
70,England,Pakistan,England,14 runs,Leeds,16-Jun-79
71,England,New Zealand,England,9 runs,Manchester,20-Jun-79
72,Pakistan,West Indies,West Indies,43 runs,The Oval,20-Jun-79
73,England,West Indies,West Indies,92 runs,Lord's,23-Jun-79
74,Australia,West Indies,Australia,5 wickets,Sydney,27-Nov-79
75,England,West Indies,England,2 runs,Sydney,28-Nov-79
76,Australia,England,England,3 wickets,Melbourne,8-Dec-79
77,Australia,West Indies,West Indies,80 runs,Melbourne,9-Dec-79
78,Australia,England,England,72 runs,Sydney,11-Dec-79
79,Australia,West Indies,Australia,7 runs,Sydney,21-Dec-79
80,England,West Indies,West Indies,9 wickets,Brisbane,23-Dec-79
81,Australia,England,England,4 wickets,Sydney,26-Dec-79
82,Australia,England,England,2 wickets,Sydney,14-Jan-80
83,England,West Indies,West Indies,107 runs,Adelaide,16-Jan-80
84,Australia,West Indies,Australia,9 runs,Sydney,18-Jan-80
85,England,West Indies,West Indies,2 runs,Melbourne,20-Jan-80
86,England,West Indies,West Indies,8 wickets,Sydney,22-Jan-80
87,New Zealand,West Indies,New Zealand,1 wicket,Christchurch,6-Feb-80
